Timestamp,Department:,Authorized Use: Select All that Apply,Summary Description of Flight,Drone Make & Model:,FAA Provided Drone Registration Number:,Street Address (Area Surveyed):,FAA provided commercial pilot certificate number:,Location (Area Surveyed):,Start Date:,Start Time:,End Date:,End Time:,Type of Data Collected:,Privacy Risks -- Summary of privacy risks associated with this flight:,Privacy Risk Mitigation -- Action taken to mitigate privacy risks:
2024/07/18 1:02:34 PM AST,Engineering,Inspections: Surveys and assessments of properties and assets.,Photo footage of the Hopewell East Development progress,DJI Mavic 3,FA3KRRL7Y9,"301 W 2nd Street, Bloomington, IN 47404 between W 2nd & W 1st, and S Rogers and S Morton",4364237,Hopewell East Development,07/18/2024 12:00:00 AM,14:00,07/18/2024 12:00:00 AM,15:00,Images,PII,No PII will be collected due to height
12/12/2024 13:38:33,Parks and Recreation,Marketing: Capture video and still photographs.,East to West Flyover of Hopewell,DJI Mavic 3,,"Hopewell Commons. Cross Streets are W 2nd, W 1st, S Morton, and S Rogers",,Hopewell Commons,12/12/2024 01:45:00 PM,12:00:00 PM,12/12/2024 12:00:00 AM,1:00:00 PM,"Images, Video",No privacy risks,No actions needed due to no privacy risks.
11/8/2024 13:21:29,Parks and Recreation,Marketing: Capture video and still photographs.,Flew drone roughly 100 ft in the air and took 9-10 photos of the solar panels over TLRC.,DJI Mavic 3,,"1700 W Bloomfield Rd, Bloomington, IN 47403",,Twin Lakes Recreation Center,11/18/2024 12:00:00 AM,1:00:00 PM,11/18/2024 12:00:00 AM,1:10:00 PM,Images,No privacy risk noted.,Kept camera focused on building and roof.
10/23/2024 14:01:57,Utilities,Marketing: Capture video and still photographs.,,DJI Mavic 3,,"5555 N Bottom Rd Bloomington, IN - Orbital shots of the plant from various AGL, max AGL 350'",,Blucher Poole Wastewater Treatment Plant,10/23/2024 12:00:00 AM,8:15:00 AM,10/23/2024 12:00:00 AM,8:45:00 AM,Images,N/A - Only CBU property in photos,Kept camera focused on CBU property
10/24/2024 13:15:42,Parks and Recreation,Marketing: Capture video and still photographs.,Flight focused on the Hopewell Commons sight. Flight path captured footage of the northern half in an East - West line.,DJI Mavic 3,,"640 S Morton St, Bloomington IN. Cross Streets: W First St, W Second St, S Rogers St. Flight remained within block.",,Hopewell Commons,10/22/2024 12:00:00 AM,6:00:00 PM,10/22/2024 12:00:00 AM,6:45:00 PM,Video,No privacy risks.,Kept camera focused on skyline and construction.
10/15/2024 8:59:14,Parks and Recreation,"Training: Preplanning, assessment and evaluation of emergency response operations.",Brief training to get used to the controls.,DJI Spark,,"1601 S Rogers St, Bloomington, IN 47403",,Switchyard Park,10/11/2024 12:00:00 AM,12:00:00 PM,10/11/2024 12:00:00 AM,1:00:00 PM,No data collected,Food Truck Friday happening nearby.,Positioned myself and the UAV away from the gathering.
9/19/2024 12:01:29,Engineering,"Construction Management: Inspection of project sites for contract and environmental compliance., Environmental Monitoring & Documentation: Vegetation type and health, wildlife, streams/reservoirs.",Flew over the demo site at Hopewell,DJI Inspire,,Fairview and 1st,,Hopewell South,09/19/2024 12:00:00 AM,10:45:00 AM,09/19/2024 12:00:00 AM,11:00:00 AM,Images,None,None
8/29/2024 13:45:46,Engineering,Construction Management: Inspection of project sites for contract and environmental compliance.,Flew over hopewell demo,DJI Inspire,FA3EE74Y4W,709 W 1st Street Fairview and first,4904637,Hopewell Demo,08/29/2024 12:00:00 AM,12:00:00 PM,08/29/2024 12:00:00 AM,12:30:00 PM,Images,NA,NA
8/28/2024 13:30:18,Engineering,"Construction Management: Inspection of project sites for contract and environmental compliance., Mapping: Aerial photography for maps, land use mapping, geospatial analysis.",Flew over the Hopewell Demo site for a construction inspection.,DJI Inspire,FA3EE74YW,709 W 1st Street.  1street and Fairview,4904637,Hopewell demo area,08/28/2024 12:00:00 AM,9:30:00 AM,08/28/2024 12:00:00 AM,10:00:00 AM,Images,None,None
8/28/2024 13:32:37,Utilities,Marketing: Capture video and still photographs.,"Photos taken along the N and E side of the Blucher Poole WWTP, max elevation of 396 AGL",DJI Mavic 3,FA3KRRL7Y9,"5555 N Bottom Rd., Bloomington, IN 47404",4599486,Blucher Poole WWTP,08/28/2024 12:00:00 AM,7:30:00 AM,08/28/2024 12:00:00 AM,8:15:00 AM,Images,N/A - CBU property was the only subject in the photos taken,N/A
